Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,Time of Connect,CarInsurance
1,32,manullgement,single,tertiary,0,1218,1,0,telephone,28,jan,2,-1,0,,1.45.20 AM,1.46.30,0.01.10,0
2,32,blue-collar,married,primary,0,1156,1,0,,26,may,5,-1,0,,2.49.03 AM,2.52.08,0.03.05,0
3,29,manullgement,single,tertiary,0,637,1,0,cellular,3,jun,1,119,1,failure,4.30.24 AM,4.36.04,0.05.40,1
4,25,student,single,primary,0,373,1,0,cellular,11,may,2,-1,0,,12.06.43 PM,12.20.22,0.13.39,1
5,30,manullgement,married,tertiary,0,2694,0,0,cellular,3,jun,1,-1,0,,2.35.44 AM,2.38.56,0.03.12,0
6,32,technician,single,tertiary,0,1625,0,0,cellular,22,may,1,109,1,failure,2.58.08 AM,3.11.24,0.13.16,1
7,37,admin.,single,tertiary,0,1000,1,0,cellular,17,mar,1,-1,0,,1.00.02 AM,1.03.17,0.03.15,1
8,35,manullgement,divorced,tertiary,0,538,1,0,,12,may,4,-1,0,,3.39.43 AM,3.40.49,0.01.06,0
9,30,admin.,married,secondary,0,187,1,0,cellular,18,nov,1,-1,0,,12.20.56 PM,12.22.42,0.01.46,0
10,30,blue-collar,married,secondary,0,3,1,1,cellular,12,may,2,-1,0,,9.22.20 AM,9.27.46,0.05.26,0
11,27,services,single,secondary,0,0,0,0,cellular,1,jun,1,-1,0,,1.04.28 AM,1.07.29,0.03.01,0
12,53,blue-collar,married,primary,1,-462,0,0,cellular,29,jan,1,-1,0,,4.45.50 AM,4.53.40,0.07.50,1
13,44,technician,married,secondary,0,2776,1,0,cellular,27,jan,1,-1,0,,4.19.41 AM,4.31.22,0.11.41,1
14,38,self-employed,divorced,secondary,0,2674,1,0,,19,jun,2,-1,0,,10.29.56 AM,10.32.39,0.02.43,0
15,25,services,single,,0,2022,0,0,cellular,29,jul,8,97,12,other,2.15.09 AM,2.19.45,0.04.36,1
16,61,manullgement,single,tertiary,0,2,0,0,cellular,12,aug,1,114,3,failure,4.18.48 AM,4.20.59,0.02.11,1
17,34,admin.,single,secondary,0,69,1,0,telephone,6,may,3,362,4,other,11.48.45 AM,11.50.17,0.01.32,0
18,46,manullgement,married,tertiary,0,7331,0,0,cellular,11,sep,4,95,2,other,11.23.26 AM,11.34.24,0.10.58,1
19,49,blue-collar,married,secondary,0,2039,1,0,cellular,6,may,1,169,2,failure,12.42.54 PM,12.50.25,0.07.31,1
